location,forecast_date,quantile,value,target,target_end_date,type
12,2021-04-19,0.3,329.41376701375856,1 wk ahead inc death,2021-04-24,quantile
12,2021-04-19,0.35,344.89893885040783,1 wk ahead inc death,2021-04-24,quantile
12,2021-04-19,0.4,355.5298109058747,1 wk ahead inc death,2021-04-24,quantile
12,2021-04-19,0.45,361.2983277561975,1 wk ahead inc death,2021-04-24,quantile
12,2021-04-19,0.5,365.5728980351689,1 wk ahead inc death,2021-04-24,quantile
12,2021-04-19,0.55,372.3722683432307,1 wk ahead inc death,2021-04-24,quantile
12,2021-04-19,0.6,381.9063898102298,1 wk ahead inc death,2021-04-24,quantile
12,2021-04-19,0.65,396.236591138772,1 wk ahead inc death,2021-04-24,quantile
12,2021-04-19,0.7,403.2677138797796,1 wk ahead inc death,2021-04-24,quantile
12,2021-04-19,0.75,413.3285410312249,1 wk ahead inc death,2021-04-24,quantile
12,2021-04-19,0.8,427.5792777441993,1 wk ahead inc death,2021-04-24,quantile
12,2021-04-19,0.85,456.1016848657025,1 wk ahead inc death,2021-04-24,quantile
12,2021-04-19,0.9,477.5314021797484,1 wk ahead inc death,2021-04-24,quantile
12,2021-04-19,0.95,493.53612250044023,1 wk ahead inc death,2021-04-24,quantile
12,2021-04-19,0.975,511.4124045085968,1 wk ahead inc death,2021-04-24,quantile
12,2021-04-19,0.99,572.780198263196,1 wk ahead inc death,2021-04-24,quantile
13,2021-04-19,0.01,118.70580349757525,1 wk ahead inc death,2021-04-24,quantile
13,2021-04-19,0.025,139.39277032135305,1 wk ahead inc death,2021-04-24,quantile
13,2021-04-19,0.05,155.5480078772127,1 wk ahead inc death,2021-04-24,quantile
13,2021-04-19,0.1,185.22485077360977,1 wk ahead inc death,2021-04-24,quantile
13,2021-04-19,0.15,195.91358491032665,1 wk ahead inc death,2021-04-24,quantile
13,2021-04-19,0.2,204.03185895753745,1 wk ahead inc death,2021-04-24,quantile
13,2021-04-19,0.25,215.7021683981,1 wk ahead inc death,2021-04-24,quantile
13,2021-04-19,0.3,220.56577122845684,1 wk ahead inc death,2021-04-24,quantile
13,2021-04-19,0.35,223.8788161509836,1 wk ahead inc death,2021-04-24,quantile
13,2021-04-19,0.4,228.13429118304413,1 wk ahead inc death,2021-04-24,quantile
13,2021-04-19,0.45,232.0457397834132,1 wk ahead inc death,2021-04-24,quantile
13,2021-04-19,0.5,235.60622299181614,1 wk ahead inc death,2021-04-24,quantile
13,2021-04-19,0.55,237.90536126948714,1 wk ahead inc death,2021-04-24,quantile
13,2021-04-19,0.6,245.0179458128043,1 wk ahead inc death,2021-04-24,quantile
13,2021-04-19,0.65,253.96551920051894,1 wk ahead inc death,2021-04-24,quantile
13,2021-04-19,0.7,258.99502654497985,1 wk ahead inc death,2021-04-24,quantile
13,2021-04-19,0.75,267.27227793578413,1 wk ahead inc death,2021-04-24,quantile
13,2021-04-19,0.8,283.55030202105644,1 wk ahead inc death,2021-04-24,quantile
13,2021-04-19,0.85,294.98127948426014,1 wk ahead inc death,2021-04-24,quantile
13,2021-04-19,0.9,312.1165661661037,1 wk ahead inc death,2021-04-24,quantile
13,2021-04-19,0.95,332.2751869826352,1 wk ahead inc death,2021-04-24,quantile
13,2021-04-19,0.975,355.76879516640906,1 wk ahead inc death,2021-04-24,quantile
13,2021-04-19,0.99,397.794463245692,1 wk ahead inc death,2021-04-24,quantile
15,2021-04-19,0.01,0,1 wk ahead inc death,2021-04-24,quantile
15,2021-04-19,0.025,0,1 wk ahead inc death,2021-04-24,quantile
15,2021-04-19,0.05,0,1 wk ahead inc death,2021-04-24,quantile
15,2021-04-19,0.1,0,1 wk ahead inc death,2021-04-24,quantile
15,2021-04-19,0.15,0,1 wk ahead inc death,2021-04-24,quantile
15,2021-04-19,0.2,0,1 wk ahead inc death,2021-04-24,quantile
15,2021-04-19,0.25,0,1 wk ahead inc death,2021-04-24,quantile
15,2021-04-19,0.3,0,1 wk ahead inc death,2021-04-24,quantile
15,2021-04-19,0.35,0.5177116475739691,1 wk ahead inc death,2021-04-24,quantile
15,2021-04-19,0.4,1.4491750606071117,1 wk ahead inc death,2021-04-24,quantile
15,2021-04-19,0.45,2.320091141260913,1 wk ahead inc death,2021-04-24,quantile
15,2021-04-19,0.5,3.396499055805964,1 wk ahead inc death,2021-04-24,quantile
15,2021-04-19,0.55,4.089023380540789,1 wk ahead inc death,2021-04-24,quantile
15,2021-04-19,0.6,4.663096265132345,1 wk ahead inc death,2021-04-24,quantile
15,2021-04-19,0.65,5.269920332125319,1 wk ahead inc death,2021-04-24,quantile
15,2021-04-19,0.7,6.201594735208722,1 wk ahead inc death,2021-04-24,quantile
15,2021-04-19,0.75,7.059509566382222,1 wk ahead inc death,2021-04-24,quantile
15,2021-04-19,0.8,7.896778069913655,1 wk ahead inc death,2021-04-24,quantile
15,2021-04-19,0.85,10.009188497799869,1 wk ahead inc death,2021-04-24,quantile
15,2021-04-19,0.9,12.916093813192429,1 wk ahead inc death,2021-04-24,quantile
15,2021-04-19,0.95,17.666323760088233,1 wk ahead inc death,2021-04-24,quantile
15,2021-04-19,0.975,26.454935715891235,1 wk ahead inc death,2021-04-24,quantile
15,2021-04-19,0.99,28.474608966647324,1 wk ahead inc death,2021-04-24,quantile
19,2021-04-19,0.01,2.6619531591676626,1 wk ahead inc death,2021-04-24,quantile
19,2021-04-19,0.025,3.8639915196169103,1 wk ahead inc death,2021-04-24,quantile
19,2021-04-19,0.05,5.757812401717378,1 wk ahead inc death,2021-04-24,quantile
19,2021-04-19,0.1,11.42785833424765,1 wk ahead inc death,2021-04-24,quantile
19,2021-04-19,0.15,14.700897995685503,1 wk ahead inc death,2021-04-24,quantile
19,2021-04-19,0.2,17.671462853382657,1 wk ahead inc death,2021-04-24,quantile
19,2021-04-19,0.25,20.56899900707897,1 wk ahead inc death,2021-04-24,quantile
